1,Água Santa,AP3
2,Abolição,AP3
3,Acari,AP3
4,Alto da Boa Vista,AP2
5,Anchieta,AP3
6,Andarai,AP2
7,Anil,AP4
8,Bancários,AP3
9,Bangu,AP5
10,Barra da Tijuca,AP4
11,Barra de Guaratiba,AP2
12,Barros Filho,AP3
13,Benfica,AP1
14,Bento Ribeiro,AP3
15,Bonsucesso,AP3
16,Botafogo,AP2
17,Bráz de Pina,AP3
18,Cachambi,AP3
19,Cacuia,AP3
20,Caju,AP1
21,Camorim,AP4
22,Campinho,AP3
23,Campo Grande,AP5
24,Campo dos Afonsos,AP5
25,Cascadura,AP3
26,Catete,AP2
27,Catumbi,AP1
28,Cavalcanti,AP3
29,Centro,AP1
30,Cidade Nova,AP1
31,Cidade Universitária,AP3
32,Cidade de Deus,AP4
33,Cocotá,AP3
34,Coelho Neto,AP3
35,Colégio,AP3
36,Complexo do Alemão,AP3
37,Copacabana,AP2
38,Cordovil,AP3
39,Cosme Velho,AP2
40,Cosmos,AP5
41,Costa Barros,AP3
42,Curicica,AP4
43,Del Castilho,AP3
44,Deodoro,AP5
45,Encantado,AP3
46,Engenheiro Leal,AP3
47,Engenho Novo,AP3
48,Engenho da Rainha,AP3
49,Engenho de Dentro,AP3
50,Estácio,AP1
51,Flamengo,AP2
52,Freguesia (Jacarepaguá),AP4
53,Freguesia (ilha),AP3
54,Galeão,AP3
55,Gambôa,AP1
56,Gardênia Azul,AP4
57,Gericinó,AP5
58,Glória,AP2
59,Grajau,AP2
60,Grumari,AP4
61,Guadalupe,AP3
62,Guaratiba,AP2
63,Gávea,AP2
64,Higienópolis,AP3
65,Honório Gurgel,AP3
66,Humaitá,AP2
67,Inhauma,AP3
68,Inhoaíba,AP5
69,Ipanema,AP2
70,Irajá,AP3
71,Itanhangá,AP4
72,Jacarepagua,AP4
73,Jacarezinho,AP3
74,Jacaré,AP3
75,Jardim America,AP3
76,Jardim Botânico,AP2
77,Jardim Carioca,AP3
78,Jardim Guanabara,AP3
79,Jardim Sulacap,AP3
80,Joá,AP4
81,Lagoa,AP2
82,Lapa,AP1
83,Laranjeiras,AP2
84,Leblon,AP2
85,Leme,AP2
86,Lins de Vasconcelos,AP3
87,Madureira,AP3
88,Magalhães Bastos,AP5
89,Mangueira,AP1
90,Manguinhos,AP3
91,Maracanã,AP2
92,Marechal Hermes,AP3
93,Maria da Graça,AP3
94,Maré,AP3
95,Meier,AP3
96,Moneró,AP3
97,Olaria,AP3
98,Oswaldo Cruz,AP3
99,Paciência,AP5
100,Padre Miguel,AP5
101,Paquetá,AP1
102,Parada de Lucas,AP3
103,Parque Anchieta,AP3
104,Parque Colúmbia,AP3
105,Pavuna,AP3
106,Pechincha,AP4
107,Pedra de Guaratiba,AP5
108,Penha,AP3
109,Penha Circular,AP3
110,Piedade,AP3
111,Pilares,AP3
112,Pitangueiras,AP3
113,Portuguesa,AP3
114,Praia da Bandeira,AP3
115,Praça Seca,AP4
116,Praça da Bandeira,AP2
117,Quintino Bocaiuva,AP3
118,Ramos,AP3
119,Realengo,AP5
120,Recreio dos Bandeirantes,AP4
121,Riachuelo,AP3
122,Ribeira,AP3
123,Ricardo de Albuquerque,AP3
124,Rio Comprido,AP1
125,Rocha,AP3
126,Rocha Miranda,AP3
127,Rocinha,AP2
128,Sampaio,AP3
129,Santa Cruz,AP5
130,Santa Teresa,AP1
131,Santo Cristo,AP1
132,Santíssimo,AP5
133,Saúde,AP1
134,Senador Camará,AP5
135,Senador Vasconcelos,AP5
136,Sepetiba,AP5
137,São Conrado,AP2
138,São Cristovão,AP1
139,São Francisco Xavier,AP3
140,Tanque,AP4
141,Taquara,AP4
142,Tauá,AP3
143,Tijuca,AP2
144,Todos os Santos,AP3
145,Tomás Coelho,AP3
146,Turiaçu,AP3
147,Urca,AP2
148,Vargem Grande,AP4
149,Vargem Pequena,AP4
150,Vasco da Gama,AP1
151,Vicente de Carvalho,AP3
152,Vidigal,AP2
153,Vigário Geral,AP3
154,Vila Isabel,AP2
155,Vila Cosmos,AP3
156,Vila Militar,AP5
157,Vila Valqueire,AP4
158,Vila da Penha,AP3
159,Vista Alegre,AP3
160,Váz Lobo,AP3
161,Zumbi,AP3
