id,name,count,ap1,ap2,ap3,ap4,ap5
6,Nova rota cicloviária,497,127,161,156,22,5
8,Redução da velocidade máxima para automóveis,49,8,11,14,0,2
1,Nova travessia de pedestre,71,14,17,23,6,1
2,Reajuste do tempo do semáforo,132,11,59,36,14,5
3,Novo ponto de ônibus,112,26,17,59,13,5
10,Alargamento de calçada,0,0,0,0,0,0
11,Novo corredor de alta capacidade,0,0,0,0,0,0
4,Novo terminal de ônibus,64,5,7,20,4,5
5,Novo posto de BikeRio,240,90,79,79,22,6
9,Novo bicicletário,0,0,0,0,0,0
7,Restrição do tráfego de automóveis,82,5,27,25,2,13
